repo	summary
Danielinator/Rojo-Game-Template	you can pass "aftman add" or "rokit add" or "rokit add --global" to setUp. you must pass something
DanielUnTask/Modules	Modules I use for my projects; I hope they're useful to you. Any changes are welcome.
DanielUnTask/Network	Network is an advanced abstraction on top of RemoteEvent that allows you to create typed and organized channels within a single remote, automatically synchronized between server and client using internal attributes.
daniewcruz/roblox-collector-game	Projeto de desenvolvimento de um jogo Roblox tratado como Game Studio + Startup + Produto de Software: pesquisa → validação → conceito → protótipo → MVP → beta → lançamento → crescimento → escala.
daniil179828/QWLEY-SHADE	Roblox shaders owner qwley . Umut and Maxey, go to hell!
DaniilMurai/roblox-game-template	Шаблон тайтла для фабрики Roblox-игр. Логика живёт в ядре robloxcore, подключённом сабмодулем; тайтл отличается от шаблона файлом configs/main.json и содержимым src/.
DaniilMurai/roblox-slice-tycoon	Slice Tycoon — первый тайтл фабрики Roblox-игр, заведён из roblox-game-template. Логика живёт в ядре core/robloxcore; здесь только configs/main.json и сборка зависимостей в src/.
DaniilMurai/robloxcore	Общее ядро фабрики Roblox-игр: экономика, прогрессия, профиль игрока, session-lock, монетизация, аналитика и процедурный UI. Тайтлы подключают ядро git-сабмодулем и отличаются только конфигом.
Danisplaygorund/project-planetes	An RTS built in Roblox/Rojo. See CLAUDE.md for conventions and toolchain setup — this file is a snapshot of what's actually been built so far, feature by feature.
DannyHasen/roblox-game	A Roblox Luau MVP for a cozy idle garden simulator with rarity, mutations, rebirths, light garden raiding, daily rewards, trading hooks, and monetization hooks.
Dansz497/Roblox	Game tebak-tebakan benda dalam Bahasa Indonesia yang bisa disinkronkan ke Roblox Studio menggunakan Rojo.
DapuntaRatya/RobloxAudioUploader	Web app untuk upload audio Roblox secara massal, grant permission ke banyak experience, dan pantau proses secara real-time.
Dara0002/ObjectPool	A lightweight, high-performance object pooling module for Roblox Luau.
dardub/borlox	This example shows how to integrate Next.js with Redux Toolkit.
DaRealFrost/Lua-Language-Tests	Each script is exercised in GitHub Actions against its target runtime. The Lua workflows use version-specific interpreters, and the Luau workflow installs the latest published Luau CLI for Ubuntu.
darealsalv/roblox-scripterRank	Permissions Handling (Modules/Server&Client/Permissions.lua) Commands Module (Modules/Server&Client/Commands.lua) Main Script (ServerScripts/Handler.lua) Main Local Script (LocalScripts/Handler.lua)
darestephen/Robloxrepo	Original Roblox multiplayer survival-horror. Players are locked in Vesper Municipal Annex after dark.
dariyed/HalfSwordGame	A simplified, single-player clone of Half Sword built in Roblox (Luau). The goal is to reproduce the original's signature idea: **you control the weapon with your mouse, and physics decides what happens.**
darkduy/deobfuscate-luraph	Bước này tạo code Luau devirtualized từ execution trace (concrete execution) với: label theo PC annotation opcode/guess goto theo nhánh runtime thực tế
Darkii0161/Roblox_BlackMagic	In this repo, I hold the newly incorporated BlackMagic.
Darkmord552/troll-website-polish-roblox	Oto jest metoda od DeanDark na trollowanie dzieci
darkuxd/Roblox-Multi-Instance	tiktok.com/@kfejroda When Opened Just Wait And It Will Be Done If Nothing Happends DM @kfejroda on tiktok
darlinshot/CharacterController	Character Class Character class is a class that acts similarly to a state machine that handles Characters generally.\ This class is used as is if you want to make an NPC, but client might require some work (see …
darsuit20-gif/rbxmap	Site vitrine avec envoi sécurisé vers Discord via un backend.
david-martin/roblox_tutorials	Printable one-hour Roblox Studio lessons. Each lesson is a standalone Markdown file (lessonNN-*.md) that follows the structure defined in lesson-guidelines.md.
david10102016/AZUL-Y-ROJO	Abre index.html en el navegador (doble clic) Selecciona la materia ¡A jugar!
DavidJara14/roblox-academy-plugin	Plugin de Roblox Studio para el curso de diseño de videojuegos. Muestra un catálogo de scripts organizados por lección y los inserta en el lugar correcto del proyecto del alumno con un clic.
davidnurkkala/fully-managed-rojo-template	This is a template for a fully rojo managed Roblox game project made by me, Dave Nurkkala. It's an opinionated template with a lot of things set up that I find myself using in nearly every project I work on.
davidnurkkala/war-strategy-shooter	This is a template for a fully rojo managed Roblox game project made by me, Dave Nurkkala. It's an opinionated template with a lot of things set up that I find myself using in nearly every project I work on.
DavidOpi/Deathnote-Escaperoom-Roblox	Developing a deathnote themed escape room, using multiple puzzles, an in game working computer, and brain busting obstacles to grab the deathnote. Based off a popluar anime, you are a FBI agent.
daviwinci-tech/Roblox-local-ai	[Česká verze níže / Czech version below]
dayflaredev/DiscordMessageBuilder	A Lua library for creating and configuring Discord webhook messages, with support for customizable embeds similar to discord.js.
dayflaredev/GranularPermissions	The GranularPermissions module is a flexible and extensible system for managing and evaluating complex permission sets for players in Roblox.
daymxn/create-rbxts-library	I've been working on a lot of rbxts libraries lately, and I found myself copy and pasting a lot of the same files and depndencies.
daymxn/rbxts-expect-example	An example of what an extension library using @rbxts/expect would look like.
daz3d/DazToRoblox	A set of tools including a Daz Studio Plugin, Daz Scripts, Blender Scripts and asset files to aid in the conversion of Daz Studio Genesis characters to Roblox Avatars.
dazhi1102123/joyingames-roblox-codes	Free, daily-updated working Roblox codes for 440+ games. Every code is cross-checked and date-stamped. Full lists, redemption steps, beginner guides and live player stats: joyingames.online
dccabs/test-roblox-game	A simple Roblox game project using Rojo for development.
dcg2390/ROJO-INSTALACIONES	Somos un taller dedicado a brindar servicios de calidad para todo tipo de vehículos, enfocados en el sistema eléctrico y accesorios. Nos especializamos en:
ddh780644-bit/roblox-party	A complete multiplayer party game for Roblox Studio with multiple mini-games, economy system, and lobby management.
ddoublejj-sketch/nexus	Nexus is the Rojo-first command center for Roblox projects. The v1 interface is this repo: nexus.ps1, VS Code tasks, Lune automation loops, and the Obsidian vault.
ddrscott/roblox-nine-square	A multiplayer king-of-the-hill volley game for Roblox, based on the playground game 9 Square in the Air.
deadbeat0nline/roblox-ai-pipeline	A semi-automated pipeline: AI handles research, ideation, content generation, and asset creation. A human reviews and approves every game before it publishes.
Deadknight/aa-proxy-scripting-mlua-luau	Guest WebAssembly scripting examples for aa-proxy-rs.
DeAggilisSpees/SimpleParse	waarschijnlijk de simpelste parser + lexer die je ooit gezien hebt lol
dean5368/drone-system	This portfolio sample contains the scripting layers of a Roblox drone-control system. (youtube link)[
DeathToTheStadium/cacheStore	a simple easy to use data store library that uses Profile services concepts as the base for all of its saving and loading
Deb84/RobloxTycoon	My first roblox game/project to train myself Abandonned, I'll create something better
DebianS4/rojo	Servicios especializados en optimización y soporte eléctrico automotriz. 🧰Reparación y Diseño:** Soluciones a medida para sistemas eléctricos complejos.
deepsinhchauhan/roblox-master-dev-skill	A Claude Agent Skill that makes Claude build and polish Roblox experiences (Luau/Roblox Studio) like a 10-15 year veteran Roblox developer — clean client/server architecture, professional "juice" (feel/polish), solid …
deeuter/Obsidian	A modded version of Obsidian UI Library Documentation:
Definisi/roblox-commis	Game digging berbasis Roblox. Pemain menggali tanah secara vertikal melewati 6 lapisan bumi yang semakin dalam dan semakin sulit. Setiap lapisan menyimpan treasure unik dengan rarity berbeda.
Degrading1919/adventurers-rise	Adventurer's Rise is a Roblox lite-MMORPG built on simulator and tycoon progression logic: one persistent adventurer trains interconnected skills, develops a visible personal plot, gathers and crafts equipment, hunts …
degvidh/random-roblox-ui-s	Here are some ui's i started and didnt finish or i didnt like the colors or etc.
deitrihi/roblox-cityhunter	도시 맵에서 더미 NPC와 다른 플레이어를 사격해 점수를 쌓는 멀티플레이 TPS 게임입니다. 로비와 시티 스테이지가 무한 반복되며, 랭킹은 일간 / 주간 / 월간으로 집계됩니다.
DekelUsach/roblox-game	Plataforma: Roblox (PC / Mobile / Console) > Lugar (Place): ALPHANDROMEDA.rbxl — ANDROMEDA TYCOON (PlaceId: 106797772291181) > Arquitectura: Luau (Roblox Studio) + Sistema Multi-Agente IA (Claude Code, Codex, …
Deleted-0970/Roblox-Sims	A C++ implementation of the Kaiju Cats board game where you control three cats moving through a city to gain power by destroying buildings.
delucted/luau-differential-fuzzer	This is a work-in-progress differential fuzzer for the Luau compiler.
Demomaker/LuaUtils	A grouping of utilities for Lua (files, modules, etc.)
demonlexe/rbxts-water	A custom water system for Roblox that provides realistic swimming mechanics and underwater effects.
DemonMadMan666/Roblox-Job-System	This project is a Job System built for Roblox as a demonstration of my scripting capabilities.
demonsban/roblox2	Every new repl comes with a .replit and a replit.nix file that let you configure your repl to do just about anything in any language!
Demorphed/RobloxAutomation	This script automates the process of scanning and purchasing seeds in a seed shop interface.
denava2006/Roblox_collab	Core skeleton for a small-to-medium Roblox game. Genre-agnostic by design: data, networking, configuration, and a UI shell, with no gameplay systems yet.
DenezG/CrossyRoblox	Crossy Roblox is my first Roblox game, used as a training project for Roblox game development.
denispionicul/RobloxStateMachine	A simple finite state machine library very much inspired by prooheckcp's RobloxStateMachine.
denispionicul/Stardust	Stardust is a collection of utilities for Roblox.
denkisikinoneko/aviplayerrblx	The movie source is in "Script" under ImageLabel, constant AVISource; edit this to a URL OR change the source in AVI(RIFF(...)). Must be a buffer
DennisCalvert/Roblox-Forsaken-Style-Game	A plug-and-play multiplayer asymmetrical horror game plugin for Roblox, inspired by "Dead by Daylight".
deprecatedbrain/fuzzy-search	Super simple fuzzy search module for Roblox with prefix bonuses.
derk-ster/Roblox-Portfolio	A premium Roblox development portfolio built with Next.js, TypeScript, Tailwind CSS, Motion, and React Three Fiber. Add media files to folders and the site updates automatically. No React editing required.
Descar789/LET-ME-COOKROBLOX	Prototipo de un juego narrativo para Roblox. Eres el empleado del turno nocturno (10 PM – 6 AM) de una tienda de conveniencia. Los clientes llegan uno por uno: algunos normales, otros... no tanto.
designerdior/roblox-music-presence	Roblox Music Presence ist ein modernes Open-Source-System, das Discord, Roblox und verschiedene Musikplattformen miteinander verbindet.
designerdior/roblox_custom_intro	Dieses Projekt enthält ein vollständig selbst entwickeltes Intro- und Loading-Screen-System für Roblox-Erfahrungen.
DespiseBlockier/RobloxScripts	hi who ever is reading this, ur not gonna find my new game scripts on here, this is just where i make modules to call for them, i have the actual game scripts on my pc or privated
Destuz/Inventory-System	Equip & Unequip — equip up to 3 units simultaneously Lock & Favorite — protect units from accidental sales Unit Upgrades — level up and strengthen your units Rename Units — personalize with custom names Sell All, Equip …
Deucaleun/robloxFakeHackScript	.$> robloxFakeHackScriptReadMe.md .$> Another useless integration made by me to prank users in games where I have access to scripting.
Dev-Equip/Luau-Frameworks	Dev Equip proudly presents Luau-Frameworks for developers that want to boost their productivity with pre-made frameworks.
dev-syn/rbxts-syn-utils	My roblox-ts utility project for general use. This was made for personal use and, it may not make sense for your use case.
DevAkaya/rbxts-replica	ts import { ReplicaClient } from "@rbxts/replica";
DevArgoz/Roblox-Environment-Extension	Patch v1.3 Added antikick(status:bool) Added string.getLocation(findfrom:str,find:str) Added string.getLocations(findfrom:str,find:str) Added string.split(findfrom:str,splitIndicator:str) Added …
DevClientTester/Roblox-2016-SRC-	All projects able to compile & run without an hitch Color3.fromRGB, Color3.fromHSV and Color3.fromHex Support Fixed a lot of issues that breaks the compilation and the overall experience Everything is open source on …
devconnecting1/Roblox-Project-3D	Jogo 3D em Workspace puro (zero Interface 2D) com roblox-ts + Rojo. O mapa é construído 100% em código pelo servidor. Build automático via GitHub Actions (artifact .rbxlx).
DevConstantin/Creature-Summoning-System	WIP system allowing players to summon and interact with a small number of creatures. It also includes more general NPC functionality, which may later be expanded and reused across the game.
devDeletedVoid/BannerPlus	An easy, OOP-based, DataStore-free banner creator for games like Anime Tower Defense that utilize this type of system.
Develfish-Studio/lorry.example-airlines	This code is auto generated from airlines database.
DeveloperLeo1/Roblox_AdminPanel_Showcase	Built with Rojo, Luau, and Object-Oriented Programming (OOP).
developerplacebruno/AutoGridLayout	Responsive, dynamic, and attribute-driven UIGridLayout scaling for Roblox Luau.
DevEric716/RateLimiter	A lightweight repository showcasing production-ready Roblox Luau modules focused on performance, modularity, and explicit typing.
deviaze/ecw-hccp	Reconciliation between hccp claim payments exported from eClinicalWorks and what actually hit our bank account.
deviaze/gbsw	Simple git branch switcher that switches to the first branch matching a substring.
deviaze/lsl	A pretty, multithreaded directory content lister sorted by date modified or file or (recursive) directory size.
deviaze/luau-lists	Yep, perfectly safe, healthy, and actually relatively typesafe pure Luau Typed LinkedLists... with more coming (eventually)
deviaze/meow-messaging-app	A simple http-based direct messaging program written in Luau.
deviaze/zwhat	Fuzzy cp and mv commands that use your most recent folders from zoxide.
devid-wp/roblox-dbd-like-game-	Shadow Hunt — это асимметричная многопользовательская игра для Roblox в стиле Dead by Daylight/Forsaken. Один игрок (киллер) охотится на четырёх выживших.
devid-wp/roblox-pvp-area	1v1 дуэли в Roblox с микс-боем (ближний + дальний) и системой способностей/перков.
Devioxic/RobloxDev	Feed Generators are services that provide custom algorithms to users through the AT Protocol.
DevIsAlive/roblox	A sleek, minimalist web application that allows users to view Roblox avatars by simply entering a username. The application features real-time avatar preview and a clean, modern interface.
DevIsAlive/robloxloxv2	Automatically synced with your v0.dev deployments
devjetz/Custom-Roblox-Signal	This module is specifically made for custom events in roblox. You can use these in both modules and normal scripts. Best part? You can use this freely without needing to give credits at all.
devloperx7/roblox	A simple 2-page website about Roblox with a gallery section.
devlucasnog/devtest-zombie-game	This project is built on top of a template I created myself for Roblox projects (roblox-game-template), using Rojo + Wally, already structured into Server/Client/Shared and, on the server, into Core (infrastructure any …
devlucasnog/roblox-face-off	Compare two Roblox players side by side and see who wins the face-off. Type two usernames, and the app pulls their public stats — friends, followers, following and groups — scores each category and declares a winner.
devlucasnog/roblox-game-template	A reusable starting point for Roblox game projects: Rojo + Wally + the architecture documented in CLAUDE.md (Loader-driven Services/Controllers, Charm/Vide state and UI, Replica/ProfileStore player data).
Devon-ODell/paintball-insanity	A single-player Roblox PvE paintball shooter, built as a disguised aim trainer. One player against up to twelve bots, with authored mesh environments and procedural paintball props.
devquangnvlvt/roblox	Các điểm neo mặt/đầu (Dành cho Kính, Tóc, Mũ, Mặt nạ) Đây là các điểm tối ưu nhất để quy định cho các tệp cấu hình (config):
DevRayro/Roblox-Asset-Downloader	Tired so gonna do this readme later... Download the latest release from the releases page. Start Use
devrobloxm/My-Owner-FrameWork	A lightweight modular framework for Roblox, inspired by Knit and Current.
devsoniexpert72/Robloxify	Robloxify Robloxify is a tool that enables screen-sharing from your device to Roblox using the HTTP service.
devsparki/Roblox-Coin-Collector	Abra o Roblox Studio. Crie uma pasta Coins no Workspace. Adicione Parts (moedas) dentro da pasta Coins. Adicione ServerScriptService > Script e cole o código ServerScriptService_CoinScript.lua.
devtakkekar/fisch-progress-tracker	🎣 Fisch Progress Tracker A comprehensive, lightweight, and offline-first progress tracker for the Roblox game "Fisch".
devTeamrbx/MirrorRoblox	EXCEPTION: This specific file is NOT covered by the project's WTFPL license. Modification, distribution, or commercial use of this file is strictly - prohibited without explicit written permission from the author.
DevTurtleOfc/DevTurtle-Tools	This module was made for games on roblox to easily convert numbers into a bunch of things and make life easier instead of having to write your own ones multiple times.
DevWithARat/MiningSystem	A high-quality, game-feel focused mining system for Roblox, built with Rojo. This system features client-side prediction for satisfying visual feedback ("juice") backed by secure server-side validation.
DevYatsu/robloxgame	Welcome to the Supreme Jump Simulator project! This repository contains a modular, high-performance simulator framework built with a focus on premium UI, snappy movement physics, and server-authoritative logic.
dexav/RobloxGame	Gruppe: Xavier Nursiwat, Artur Bytyqi, Leonardo Grigioni
dexoisalbert-lgtm/vigilant-engine	A chaotic, physics-based co-op Roblox game aboard a failing commercial airliner. Players share flying, cabin service, mid-air repairs, cargo triage, wing-mounted defense, and smuggling. Full design: docs/GAME_PLAN.md.
Dextheking1/roblox-ability-system	A modular, server-authoritative ability system for Roblox, written in strict Luau.
deziemniakv/Roblox_Gen_Bot	A simple and powerful Discord bot written in Python that generates a Roblox account and distributes content to users via direct messages (DMs) on command. It features a clean Markdown-style embedding interface.
dfdfdsffsdf/roblox-combat-scripts	Módulos de combate desenvolvidos para Roblox em Luau, focados em sistema de habilidades com respirações (breathing styles).
dhaynes-rbx/plugin-roblox-template	A template for Roblox Studio plugins with always-on right-side panels that respond to the current selection. Built with Rojo, React-lua, and aftman.
dhkim9179/ddss	Roblox Studio Rokit — 나머지 툴(Rojo, Wally, StyLua, selene, luau-lsp, Lune)은 Rokit이 설치한다
dhkim9179/ddss-renew	스택 선택의 정본은 pipeline/stack.yaml이다. 스택을 바꾸려면 그 파일을 먼저 고친다. 도구 버전 숫자의 정본은 rokit.toml 이다.
DialBird/crowd-runner-roblox	Web版 crowd-runner のRoblox移植。 roblox-ts（TypeScript→Luau）+ Rojo で開発する。
DialogueMaker/conversation	A DialogueServer object is used to contain information about your specific characters. Along with this, DialogueServer objects contain any Dialogue objects that are relevant to the character.
DialogueMaker/effect	An Effect object represents code that runs while the dialogue is being shown. You can use them to change how content is shown to the player, or maybe you can use them to just run client-side code. The choice is yours.
Dias20192/roblox-bot	Express + TypeScript server that receives leaderboard data from Roblox every 5 minutes, posts it to Discord channels, and serves a live web leaderboard page.
DieBrosTv/Roblox	Rojo-Projekt für das Roblox-Spiel (Starter Planet → Planet 2 Portal).
diegosalasmartinez/infernal-chairs	Juego de sillas musicales en Roblox, con un giro: los jugadores no controlan su movimiento mientras suena la música — orbitan automáticamente alrededor de las sillas.
Diffone7/r	🚀 Boost your FPS, reduce lag, and optimize graphics intelligently — for any Roblox game. > 💬 Tối ưu FPS, giảm giật lag, và cải thiện hiệu năng tổng thể cho Roblox.
dig1t/claude-luau-lsp	Luau LSP plugin for Claude Code. Type checking, go-to-definition, hover info, and diagnostics for .luau and .lua files, with Roblox API types loaded automatically when the workspace is a Roblox project.
digi-T5555/myfirstproject	TODO: this is quite bad i think, im not sure if there are rate limits for this since i'm calling it every 5 minutes...
digressed/roblox-api-lookup	Grabs Public Profile Information - Retrives Roblox Profile Data Grabs Friends List - Retrives Users Friends (along with there data) Grabs Online Status - Determines If The Searched User is Online Grabs Badges - Retrives …
dikawardani24/dw-ms-player-widget	Native Noctalia music player bar widget with popup controls, playlist, and fixed-height visualizer.
dim444dim/tycoon-trends	Jeu Roblox de type tycoon idle avec un système de tendances : certains bâtiments bénéficient d'un bonus ×2 en rotation, forçant les joueurs à adapter leur stratégie en temps réel.
DimasThaqif/picnic-project	A cozy and relaxing Roblox game where players explore a peaceful picnic park filled with nature, flowers, and calming vibes.
DimasThaqif/picnic-projectV2	A cozy and relaxing Roblox game where players explore a peaceful picnic park filled with nature, flowers, and calming vibes.
dimsumaddiction/Iris	Iris is an Immediate mode GUI Library for Roblox, Based on Dear ImGui. It solves the same problems as Dear ImGui: providing a simple and bloat-free UI system, designed for visualisation and debugging.
Dindongg1025452/Roblox-jangan-kamu-pergi	Berbagai permainan horror menegangkan dengan roblox
Dindongg1025452/tugas-artikel-roblox-inf	Berbagai permainan horror menegangkan dengan roblox
Diogo-Boeno/Mirage-Framework	The framework where worlds exist as data, not objects.
Diogo-Boeno/PF	src/ReplicatedStorage/Shared/Framework/ — core framework src/ServerScriptService/Services/ — server-side services src/StarterPlayerScripts/Controllers/ — client-side controllers
Diogo-Boeno/RPG-Sword-Combat-System	Sistema combate de ação (melee) no Roblox, com sistema de postura/parry no estilo Sekiro e elementos de RPG (level, XP, consumíveis) no estilo Elden Ring.
Diogo-Boeno/Rythm-System-	An osu!-style rhythm system for Roblox — timing-based hit targets with graded, color-coded feedback, BPM-driven charts, and combo scoring.
Diogo-S-Oliveira/CombatSystem-Roblox-MVP	This document provides a highly comprehensive architectural blueprint and operational breakdown of your modular melee combat framework.
dirch4/sentiment-analysis-roblox	Repositori ini berisi kode dan data untuk melakukan analisis sentimen pada ulasan aplikasi Roblox menggunakan Python dan Jupyter Notebook.
disa12311/roblox-studio-bridge	Cho phép Claude (claude.ai) điều khiển Roblox Studio trực tiếp qua chat — tạo parts, viết scripts, chỉnh sửa game mà không cần rời khỏi trình duyệt.
DiscombobulatedDeveloper/Script	This is one of the scripts used to handle my NPC pathfinding system, it has many features such as collision detection, pathfinding, random, human-like movement with pauses at random times.
DiscordMod111/Roblox-Admin-Panel	Ein simples Admin Panel für dein Roblox-Spiel mit GUI, RemoteEvents und Server-Sicherheit.
Distracted-Games/TypeFunctions	A collection of Luau type functions for working with dictionary and enum-like types in the modern Roblox Luau Type Solver.
Distracted-Games/ZoneService	WIP solution for server authoritative zone management in Roblox experiences.
districtbloom/SellCarsWeb	The game opens on a rotating panorama of the environment. Press START (or Enter) beneath SELL CARS to enter your dealership; gameplay and race timers begin after the title screen.
DivadDev2/Roblox-Plugin-Manager	--Hello! --Plugin manager allows you to add plugins to make you're experience better.
Divulgate/Roji	mise install wally install or mkdir Packages
Dizzy-Danny/Daniel-Rojo	Organized between Programming languages (currently only Python)
dj-pearson/ForeverBuild	A continuously growing Roblox world inspired by the Million Dollar Homepage, allowing players to purchase and place objects on an infinite map.
dj-pearson/ForeverBuild2	We've rebuilt the interaction system from scratch to provide a more robust and resilient experience. The system now handles missing or broken dependencies gracefully.
djarkgem/RobloxIsland	AnnaPurna : 안나푸르나의 산을 배경으로 한 맵입니다. 처음으로 성공한 맵입니다.
DJKuhleb/RoDb	RoDb is a caching datastore service for roblox, you dont directly interface with your database, only the API.
dlgarciabr/chrome-roblox-backend	This is a backend api Node project to supply data for the Chrome Roblox friend status extension
dlgarciabr/chrome-roblox-extension	This is a small Chrome extension to show Roblox friend status on friend page
dloftus98/barclay-farm-roblox	Rojo is installed and configured for this project. It synchronizes BarclayFarmBuilder.server.lua from this directory into ServerScriptService > BarclayFarmBuilder without manual copy/paste.
dmbzw7jcyv-cyber/RickNMortyRS	A Rojo/Luau portal-gun system with a handmade gray device, red switch, green glass energy chamber, traveling energy shots, animated green spiral portals, and liquid leakage on replacement.
dmeklund/luau	Luau - The Lib Update/AutoUpdate Suite Web Site: E-Mail:
dmi7ry/Luau-definition-for-MTA	It's not finished yet, but feel free to contribute
dmmqd/Suxo	This repository serves as a showcase of scripts and UI libraries I created for games like Da Hood Tower of Hell Murder Mystery 2 Doors Build a boat for a treasure Captive Breaking point
DNFUK/roblox-asmr-project	A complete, production-ready Roblox game built entirely from code — no builds, no assets to upload, no instances to configure. Paste 7 scripts into Roblox Studio and press Play.
DoesA50Hit/DTCS	Work in Progress Core architecture is being established. Move execution, passives, and status effects are not yet implemented.
Dogaumm/RobloxAuthDocs	Este projeto está atualmente em desenvolvimento. > Estamos aguardando a validação e liberação do OAuth App pelo Roblox.
DogTheSeller/RobloxSuperMCP	Roblox Super MCP is a Node.js MCP server that connects an MCP client to the official Roblox Studio MCP process. It adds discovery, inspection, auditing, atomic script edits, verification, and rollback-oriented tools.
Doky37/rojoazul	Este es un dibujo digital creado por Arantxa Serrano con el uso de canvas y webgl.
DonkeyConga/Roblox-GUI-Game	A complete, GUI-driven Roblox RNG game where you roll for **Pusheen the Cat variants** as equippable titles.
donnguyenthanh/boss-arena	A server-authoritative Roblox boss arena game built with Luau and Rojo.
donnycharles88/DL-Sentiment-Analysis-Apk-Roblox	Aplikasi Web Analisis Sentimen Ulasan Roblox
DontMineAtNight/Tutorial	A small, client-side onboarding package for Roblox experiences.
dopefrrr/robloxdirmaker	A Python tool that creates a complete Roblox Studio directory structure for game development projects.
doqedev/RBXTS-SimplePath	A typed version of SimplePath, an open-source pathfinding module that gives you the ability to quickly create a pathfinding script for humanoids and non-humanoids with just a few lines of code.
dostchi/zapret-youtube-discord-roblox	In the menu that appears: Press 4 to enable the game filter.
dotjoma/ligaya	High-performance networking framework for Roblox with compile-time type safety
Dotnet-x86/RBXEnum	Custom Enum Library for Roblox Overview The Custom Enum Library for Roblox allows you to define and manage custom enumerations in your Roblox games, providing an efficient and flexible way to handle constant values …
Dotnet-x86/RBXFlag	Flag is a flexible library for handling flag-based systems in Roblox. It allows you to define, manage, and manipulate flags using integers, which are highly efficient for storage and performance.
DoubleV840/Roblox-TimeOut	plan2.md — ce que le jeu doit faire (game design) studio.md — ce qu'il faut poser à la main dans Roblox Studio SUIVI.md — l'ordre dans lequel avancer, étape par étape
Downrest/movement-demo-hiddendevs-	gameplay controls: to sprint, hold leftshift you can get into a "faster sprint" by holding right click and pressing left click once.
dowoge/nulls	custom solution for null movement + w release
dpaige-svg/HE-Utilities-Roblox	HE-Utilities is a standalone Roblox Studio security-review plugin that scans an open place for suspicious signatures, configured keywords and Luau patterns, risky metadata, UI text, user-ID checks, profanity, and broken …
dphfox/dogsite	Lune is used to run Dogsite, and the developer scripts in the repository. It is managed by Rokit.
dphfox/swizzler	As with all other projects, you accept responsibility for choosing and using this project.
dqqman/heliosware	nice roblox utility i will add description here
DragonSK16/Roblox	This is where i will keep all my public projects located.
Drakkiosauro/Painel-Admin-Notifica-o-Para-Todos-os-Servers-Roblox	Interface administrativa para envio de notificações globais e alertas de manutenção com contagem regressiva no Roblox.
Drakkiosauro/Tela-de-morte-Roblox	Sistema de tela de morte minimalista com efeito de desfoque (blur), câmera travada e barra de progresso.
Dravid-hex/L298n-en-Roblox	Juego multijugador para aprender a manejar un motor DC con un puente H L298N y un Arduino: cada alumno tiene su estación, cablea los componentes en 3D, maneja el PWM y la dirección, y avanza por 10 niveles (del "hacer …
DraxOutz/roblox-best-practices	This repository contains my step-by-step progression in learning clean, modular, and maintainable code for Roblox. Each file represents a lesson, showing how my coding style evolved.
DrChill/Roblox-Crawler	This program is licensed under the MIT license found in the LICENSE file. Which much means you can do basically whatever you want with this project.
dreadpiratejoelius/roblox-template-replacer	Add a valid clothing template into input run >python3 main.py Check ouput folder ?Profit
drewshipwash/robloxScaryMaze	Roblox Game Title: "Escape Scary Spooky Maze"
drift7rs/RobloxExitSteamVR	CURRENTLY NOT NEEDED AS OF 27/01/23 - ROBLOX HAS FIXED THIS ISSUE (for now xd)
drixpyyy/roblox-scripts	this is a list of random rare scripts i found, idc if they arent rare to you or you think its simple i just wanted to makke this to save scripts that looked really op and rare to me
DrMESAZIM/How-to-make-website-like-Roblox-using-HTML-and-CSS-only	learn how to make website like Roblox using this link
drojo21/LuisRojosmasonry	Professional masonry contractor serving Tucson, AZ.
dropoutprophe/RoBloxPortfolio	A modern, creative, and well-optimized portfolio website for showcasing Roblox development projects.
DrWhoInTARDIS/RobloxStuff	Generic module I use. Has a bunch utillity stuff I made like tableReverse and round. All you need is to add code on what to do when a player is spamming.
ds84182/roblox-sbx	ScriptBuilderX uses Cure for library and game management. NOTE: The LISCENCE file is only for my code, not the Cure Framework.
dsassaaaaaaaaaaaaaaaaaaaaaaaaaaaaa/scare-park	Тайкун-парк ужасов для Roblox: фьюжн монстров, испуг живых посетителей, сезонная ранговая лестница.
dstroppa/tidebound	A cozy fishing RPG on Roblox — Stardew Valley × Pokémon. Explore a living archipelago, catch 200+ unique fish, build and decorate personal aquariums, and compete in seasonal tournaments.
duckfamily/roblox-rpc	Красивый Discord Rich Presence с отображением игрового времени и синхронизацией с облачным лидербордом.
DucKhiem2132/roblox	This download contains Oswald as both a variable font and static fonts.
DucksEz/PublishAssetPrompt-Fix	2 Fixes For sUNCs Errors Listed In The Image Below Both Of Theese Fix All The Errors
dufabricio/roblox-lab	Level design, construção da estrutura em blocos simples do level. Planejamento da iluminação, utilizar personagem básico no cenário para maner a proporção
Dungoler/SharpTween	Calling PlayPreloaded() when the CustomTween is already playing has no effect, just like a regular Tween. Setting a goalProgress as seen in the example (0.5) will fire the Completed Event after the progress is hit.
DustAtom-dev/dOS_Luau	dOS_Luau or "dOS" is an Operating System (OS) written entirely in Pilot.lua, a programming language derived from Roblox Luau (rbx.lua) and made specifically for a Roblox game called "Waste of Space" (WoS or WOS).
duxy015/Logovi-za-RP---Roblox	Potrebno je lua file dodati u ServerScriptService. Napravite vas discord webhook i unesite ga u skriptu. Made by Duxy 2025 © All rights reserved.
duyvietnam20121/roblox_booster	A modern, high-performance system optimizer for Roblox, built with Rust 1.85 + Edition 2024.
Dvitash/roblox-docs-skill	Local reference for Roblox engine classes, enums, and methods. Generated from the official Roblox Creator Docs repository.
